Cuisine;Nom;Note;Avis;Adresse;URL
indien;Les Epices de l'Inde;4.8;547;7 Rue de Mazagran, 44100 Nantes;https://www.google.com/maps/search/?api=1&query=Les+Epices+de+l%27Inde+7+Rue+de+Mazagran%2C+44100+Nantes
indien;Inde Et Vous Bindi;4.8;437;10 Rue Armand Brossard, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Inde+Et+Vous+Bindi+10+Rue+Armand+Brossard%2C+44000+Nantes
indien;Inde et Vous;4.7;1458;3 All. d'Erdre, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Inde+et+Vous+3+All.+d%27Erdre%2C+44000+Nantes
indien;Curry House;4.7;2040;11 Rue de la Juiverie, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Curry+House+11+Rue+de+la+Juiverie%2C+44000+Nantes
italien;VINCENZO;4.7;1893;14 Rue du Château, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=VINCENZO+14+Rue+du+Ch%C3%A2teau%2C+44000+Nantes
italien;VINCENZO;4.7;1893;13 Pl. du Pilori, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=VINCENZO+13+Pl.+du+Pilori%2C+44000+Nantes
italien;Giorgio Ristorante;4.6;1896;6 Rue Albert Londres, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Giorgio+Ristorante+6+Rue+Albert+Londres%2C+44300+Nantes
italien;Lucciola Trattoria;4.5;1159;5 Pl. du Bouffay, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Lucciola+Trattoria+5+Pl.+du+Bouffay%2C+44000+Nantes
japonais;Kyoto;4.8;521;13 Bd de Stalingrad, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Kyoto+13+Bd+de+Stalingrad%2C+44000+Nantes
japonais;Ichizen;4.7;341;11 Rue Fouré, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Ichizen+11+Rue+Four%C3%A9%2C+44000+Nantes
japonais;ikimasho;4.5;2072;4 Rue de Colmar, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=ikimasho+4+Rue+de+Colmar%2C+44000+Nantes
libanais;BAÏTÉ;4.9;62;4 Rue Copernic, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=BA%C3%8FT%C3%89+4+Rue+Copernic%2C+44000+Nantes
libanais;Olea;4.9;135;16 Rue de la Juiverie, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Olea+16+Rue+de+la+Juiverie%2C+44000+Nantes
libanais;Comptoir Libanais Beaujoire;4.8;251;17 bis Rue Barbara, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Comptoir+Libanais+Beaujoire+17+bis+Rue+Barbara%2C+44300+Nantes
libanais;Les Délices de Beyrouth;4.7;105;10 Rue du Fresche Blanc, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Les+D%C3%A9lices+de+Beyrouth+10+Rue+du+Fresche+Blanc%2C+44300+Nantes
libanais;Magmaa - Food Hall Nantes;4.1;1880;15 Rue La Noue Bras de Fer, 44200 Nantes;https://www.google.com/maps/search/?api=1&query=Magmaa+-+Food+Hall+Nantes+15+Rue+La+Noue+Bras+de+Fer%2C+44200+Nantes
mexicain;La Salerosa;4.7;373;22 Quai de la Fosse, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=La+Salerosa+22+Quai+de+la+Fosse%2C+44000+Nantes
mexicain;L'Agave;4.7;460;11 Rue Léon Blum, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=L%27Agave+11+Rue+L%C3%A9on+Blum%2C+44000+Nantes
mexicain;Tierra Maya;4.5;483;6 Rue Kervégan, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Tierra+Maya+6+Rue+Kerv%C3%A9gan%2C+44000+Nantes
mexicain;Fresh Burritos Foodtrip Mexicain Nantes Centre-ville;4.3;1076;5 Rue de Gorges, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Fresh+Burritos+Foodtrip+Mexicain+Nantes+Centre-ville+5+Rue+de+Gorges%2C+44000+Nantes
mexicain;Antojitos MX - Produits mexicains;4.3;118;5 Rue des Platanes, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Antojitos+MX+-+Produits+mexicains+5+Rue+des+Platanes%2C+44300+Nantes
éthiopien;Habesha spécialités érythréennes & éthiopiennes;5.0;53;69 Rue Paul Bellamy, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Habesha+sp%C3%A9cialit%C3%A9s+%C3%A9rythr%C3%A9ennes+%26+%C3%A9thiopiennes+69+Rue+Paul+Bellamy%2C+44000+Nantes
éthiopien;Chez fruta;4.9;395;2 Rue Copernic, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Chez+fruta+2+Rue+Copernic%2C+44000+Nantes
éthiopien;Saveurs d'Ethiopie - Traiteur Africain / Ethiopien (Nantes 44);4.5;4;;https://www.google.com/maps/search/?api=1&query=Saveurs+d%27Ethiopie+-+Traiteur+Africain+%2F+Ethiopien+%28Nantes+44%29
