Cuisine;Nom;Note;Avis;Adresse;URL
indien;Taj Mahal;4.8;456;34 Rue Crebillon, Nantes;https://www.google.com/maps/search/?api=1&query=Taj+Mahal+34+Rue+Crebillon%2C+Nantes
indien;Les Epices de l'Inde;4.8;547;7 Rue de Mazagran, 44100 Nantes;https://www.google.com/maps/search/?api=1&query=Les+Epices+de+l%27Inde+7+Rue+de+Mazagran%2C+44100+Nantes
indien;Inde Et Vous Bindi;4.8;437;10 Rue Armand Brossard, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Inde+Et+Vous+Bindi+10+Rue+Armand+Brossard%2C+44000+Nantes
indien;Le Kashmir;4.8;242;4 Rue Santeuil, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Le+Kashmir+4+Rue+Santeuil%2C+44000+Nantes
indien;Inde et Vous;4.7;1458;3 All. d'Erdre, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Inde+et+Vous+3+All.+d%27Erdre%2C+44000+Nantes
indien;Curry House;4.7;2040;11 Rue de la Juiverie, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Curry+House+11+Rue+de+la+Juiverie%2C+44000+Nantes
italien;VINCENZO;4.7;1893;13 Pl. du Pilori, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=VINCENZO+13+Pl.+du+Pilori%2C+44000+Nantes
italien;Giorgio Ristorante;4.6;1896;6 Rue Albert Londres, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Giorgio+Ristorante+6+Rue+Albert+Londres%2C+44300+Nantes
italien;San Marco;4.6;839;14 Rue du Château, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=San+Marco+14+Rue+du+Ch%C3%A2teau%2C+44000+Nantes
italien;La Trattoria;4.5;234;12 Rue de la Paix, Nantes;https://www.google.com/maps/search/?api=1&query=La+Trattoria+12+Rue+de+la+Paix%2C+Nantes
italien;Pizzeria Bella;4.2;156;45 Avenue des Champs, Nantes;https://www.google.com/maps/search/?api=1&query=Pizzeria+Bella+45+Avenue+des+Champs%2C+Nantes
japonais;Shokudo Rond Point de Rennes;4.9;73;23 Bd des Frères de Goncourt, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Shokudo+Rond+Point+de+Rennes+23+Bd+des+Fr%C3%A8res+de+Goncourt%2C+44300+Nantes
japonais;Mugen Ramen;4.8;322;4 Rue Fénelon, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Mugen+Ramen+4+Rue+F%C3%A9nelon%2C+44000+Nantes
japonais;Sushi Zen;4.7;389;78 Boulevard de la Republie, Nantes;https://www.google.com/maps/search/?api=1&query=Sushi+Zen+78+Boulevard+de+la+Republie%2C+Nantes
japonais;Ramen House;4.3;201;23 Rue du Commerce, Nantes;https://www.google.com/maps/search/?api=1&query=Ramen+House+23+Rue+du+Commerce%2C+Nantes
libanais;BAÏTÉ;4.9;62;4 Rue Copernic, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=BA%C3%8FT%C3%89+4+Rue+Copernic%2C+44000+Nantes
libanais;Olea;4.9;135;16 Rue de la Juiverie, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Olea+16+Rue+de+la+Juiverie%2C+44000+Nantes
libanais;Comptoir Libanais Beaujoire;4.8;251;17 bis Rue Barbara, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Comptoir+Libanais+Beaujoire+17+bis+Rue+Barbara%2C+44300+Nantes
libanais;Les Délices de Beyrouth;4.7;105;10 Rue du Fresche Blanc, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Les+D%C3%A9lices+de+Beyrouth+10+Rue+du+Fresche+Blanc%2C+44300+Nantes
libanais;Comptoir Libanais Nantes;4.7;373;5 Rue de la Clavurerie, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Comptoir+Libanais+Nantes+5+Rue+de+la+Clavurerie%2C+44000+Nantes
libanais;Le Cedre;4.4;178;89 Place Royale, Nantes;https://www.google.com/maps/search/?api=1&query=Le+Cedre+89+Place+Royale%2C+Nantes
mexicain;La Salerosa;4.7;373;22 Quai de la Fosse, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=La+Salerosa+22+Quai+de+la+Fosse%2C+44000+Nantes
mexicain;L'Agave;4.7;460;11 Rue Léon Blum, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=L%27Agave+11+Rue+L%C3%A9on+Blum%2C+44000+Nantes
mexicain;Tierra Maya;4.5;483;6 Rue Kervégan, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Tierra+Maya+6+Rue+Kerv%C3%A9gan%2C+44000+Nantes
mexicain;Antojitos MX - Produits mexicains;4.3;118;5 Rue des Platanes, 44300 Nantes;https://www.google.com/maps/search/?api=1&query=Antojitos+MX+-+Produits+mexicains+5+Rue+des+Platanes%2C+44300+Nantes
mexicain;Fresh Burritos Foodtrip Mexicain Nantes Centre-ville;4.3;1076;5 Rue de Gorges, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Fresh+Burritos+Foodtrip+Mexicain+Nantes+Centre-ville+5+Rue+de+Gorges%2C+44000+Nantes
mexicain;El Mariachi;4.1;98;;https://www.google.com/maps/search/?api=1&query=El+Mariachi
taiwanais;Bubble Tea House;4.6;312;56 Rue de la Soif, Nantes;https://www.google.com/maps/search/?api=1&query=Bubble+Tea+House+56+Rue+de+la+Soif%2C+Nantes
taïwanais;SHAN DAO;4.9;103;19 Quai de Versailles, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=SHAN+DAO+19+Quai+de+Versailles%2C+44000+Nantes
taïwanais;BAO DAO Taiwan Food;4.8;820;5 Rue de la Clavurerie, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=BAO+DAO+Taiwan+Food+5+Rue+de+la+Clavurerie%2C+44000+Nantes
éthiopien;Habesha spécialités érythréennes & éthiopiennes;5.0;53;69 Rue Paul Bellamy, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Habesha+sp%C3%A9cialit%C3%A9s+%C3%A9rythr%C3%A9ennes+%26+%C3%A9thiopiennes+69+Rue+Paul+Bellamy%2C+44000+Nantes
éthiopien;Chez fruta;4.9;395;2 Rue Copernic, 44000 Nantes;https://www.google.com/maps/search/?api=1&query=Chez+fruta+2+Rue+Copernic%2C+44000+Nantes
éthiopien;Saveurs d'Ethiopie - Traiteur Africain / Ethiopien (Nantes 44);4.5;4;;https://www.google.com/maps/search/?api=1&query=Saveurs+d%27Ethiopie+-+Traiteur+Africain+%2F+Ethiopien+%28Nantes+44%29
